Seurat_Clusters	shortName
1	EntericGliaCells
2	LymphaticEndothelialCells
3	EndothelialCells1
4	EndothelialCells2
5	SmoothMuscleCells
6	Pericytes
7	InterstitialCellsOfCajal
8	Fibroblasts1
9	Fibroblasts2
10	MesothelialCells1
11	MesothelialCells2
12	MesothelialCells3
13	MesothelialCells4
14	MesothelialCells5
15	EpithelialCells
16	MuscularisMacrophages1
17	MuscularisMacrophages2
18	MuscularisMacrophages3
19	MuscularisMacrophages4
20	CyclingMacrophages
21	MonocyteMacrophages
22	DendriticCells1
23	DendriticCells2
24	Neutrophils
25	OtherLymphoidCells
26	NaturalKillerCells
27	TCells1
28	TCells2
29	TCells3
30	Bcells
