gene1	gene2	cellType	quadrant
0	0	NaturalKillerCells	KO_infected
0	0	TCells1	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	TCells1	KO_infected
0.704538678846041	0	TCells1	KO_infected
1.15206977988174	0	OtherLymphoidCells	KO_infected
0	0	TCells1	KO_infected
0	0	TCells1	KO_infected
0	0	TCells2	KO_infected
0	0	TCells1	KO_infected
0	0	TCells3	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	1.19953449753637	TCells2	KO_infected
0	0.958673424885804	NaturalKillerCells	KO_infected
0	0.928631025873088	TCells2	KO_infected
0	0.77058757150916	NaturalKillerCells	KO_infected
1.31650887915947	0	OtherLymphoidCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
1.31887856116913	0	TCells1	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0.95580692783618	NaturalKillerCells	KO_infected
0.711858531443181	0	TCells1	KO_infected
0	3.09180043834831	TCells3	KO_infected
0	1.09185819068431	NaturalKillerCells	KO_infected
0.618314809296508	0	TCells1	KO_infected
0	0	TCells1	KO_infected
0	1.32934023152993	TCells3	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	TCells2	KO_infected
0	2.27167755553097	NaturalKillerCells	KO_infected
0	1.7906492215288	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	TCells2	KO_infected
0	0	TCells1	KO_infected
0	0	TCells3	KO_infected
0	0	TCells3	KO_infected
0	0	TCells3	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0.602222611135061	TCells2	KO_infected
0	0	NaturalKillerCells	KO_infected
1.30290168272261	0	TCells2	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0.864736994442579	TCells3	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	TCells2	KO_infected
0	0	TCells1	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0.800179706970087	TCells2	KO_infected
0	0	TCells2	KO_infected
0	1.85015109460893	TCells1	KO_infected
0	0	TCells3	KO_infected
0	0.715524797099931	TCells2	KO_infected
0	0	TCells2	KO_infected
0	0	TCells2	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0.433828082045197	TCells2	KO_infected
0	1.89617614338118	NaturalKillerCells	KO_infected
0	1.39418342723167	TCells3	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	TCells2	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	TCells1	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	TCells3	KO_infected
0	0	TCells1	KO_infected
0	0	TCells2	KO_infected
0	0	NaturalKillerCells	KO_infected
1.9112410522889	0	OtherLymphoidCells	KO_infected
0	0.969411842596071	NaturalKillerCells	KO_infected
0	0	TCells2	KO_infected
0.841492658181093	0	TCells1	KO_infected
0	2.36108588265658	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	TCells2	KO_infected
0	0	TCells2	KO_infected
0	0	TCells1	KO_infected
0	0.809198014154933	TCells3	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	TCells3	KO_infected
0	0	TCells2	KO_infected
0	0.891526174249758	TCells3	KO_infected
0	0	TCells1	KO_infected
0	1.28218467258083	TCells2	KO_infected
0	1.99665209247696	NaturalKillerCells	KO_infected
0	0	TCells1	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	TCells1	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	2.31705822940346	TCells2	KO_infected
0	0.707343405286874	TCells1	KO_infected
1.22160563739434	0	OtherLymphoidCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	1.44441962555332	NaturalKillerCells	KO_infected
0	0.970174262540982	TCells2	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0.985804257381484	TCells2	KO_infected
0	0.64309742538784	TCells1	KO_infected
0	0	NaturalKillerCells	KO_infected
0	1.92345057614994	NaturalKillerCells	KO_infected
0.705626649788279	0	OtherLymphoidCells	KO_infected
1.67007674028059	0	OtherLymphoidCells	KO_infected
1.72210429350031	0	OtherLymphoidCells	KO_infected
0	2.13380431055216	TCells3	KO_infected
0	0.427212258401904	TCells1	KO_infected
0.794860679978532	2.40854480584269	TCells2	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
