gene1	gene2	cellType	quadrant
1.18036255377985	0	NaturalKillerCells	KO_infected
0.692198532312453	0	TCells1	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0.325262223599059	0	TCells1	KO_infected
0.704538678846041	0	TCells1	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	1.98198990070124	TCells1	KO_infected
0	1.16199193678717	TCells1	KO_infected
0	0	TCells2	KO_infected
0	0	TCells1	KO_infected
0	0	TCells3	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0.457198834125825	1.36051867903109	TCells2	KO_infected
0	0	NaturalKillerCells	KO_infected
0.568445795278109	2.15816137897409	TCells2	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	NaturalKillerCells	KO_infected
1.0450911872301	0	NaturalKillerCells	KO_infected
0	0	TCells1	KO_infected
1.46250270826738	0	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	TCells1	KO_infected
0	1.83324852086946	TCells3	KO_infected
0	0	NaturalKillerCells	KO_infected
0.356204144212516	0	TCells1	KO_infected
0	0	TCells1	KO_infected
0	2.63666624371176	TCells3	KO_infected
0	0	NaturalKillerCells	KO_infected
1.37599591523579	0	NaturalKillerCells	KO_infected
0	0	TCells2	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	TCells2	KO_infected
0	0	TCells1	KO_infected
0	2.45511194276363	TCells3	KO_infected
0.722485819777083	2.13023274988216	TCells3	KO_infected
1.4513894860695	2.21622137095176	TCells3	KO_infected
1.39765095005223	0	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
1.24660677156542	2.22589103538186	TCells2	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	TCells2	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
1.63376842726753	1.87142150649412	TCells3	KO_infected
0.905859153164339	0	NaturalKillerCells	KO_infected
0	1.46046730918825	TCells2	KO_infected
0	0.946126392927378	TCells1	KO_infected
0	0	NaturalKillerCells	KO_infected
0.800179706970087	1.77559005238307	TCells2	KO_infected
0.482973299593245	0	TCells2	KO_infected
0.429232449166509	0	TCells1	KO_infected
0	2.13063744077305	TCells3	KO_infected
0.42043901977078	1.41967576081583	TCells2	KO_infected
0	1.21510600060145	TCells2	KO_infected
0	1.7420153106749	TCells2	KO_infected
0	0	NaturalKillerCells	KO_infected
0.73539556483059	0	TCells2	KO_infected
1.06014600784031	0	NaturalKillerCells	KO_infected
2.1493409800301	1.95492116113613	TCells3	KO_infected
0	0	OtherLymphoidCells	KO_infected
1.47226247772145	0	OtherLymphoidCells	KO_infected
0.556303874276465	0.911650975380123	TCells2	KO_infected
1.00215202248055	0	NaturalKillerCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0.515386865225301	TCells1	KO_infected
0	0	OtherLymphoidCells	KO_infected
1.52952476907813	2.10802478163348	TCells3	KO_infected
0.383045289992468	0	TCells1	KO_infected
0	0	TCells2	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0.612840167347669	TCells2	KO_infected
0	0	TCells1	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	TCells2	KO_infected
0.639480364674378	2.38420675886966	TCells2	KO_infected
0	0	TCells1	KO_infected
0.809198014154933	0.809198014154933	TCells3	KO_infected
1.03986045488335	0	NaturalKillerCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0.861093855210809	0.861093855210809	TCells3	KO_infected
0	0.632826017904375	TCells2	KO_infected
0.891526174249758	1.67082398781751	TCells3	KO_infected
0.487099658168518	0	TCells1	KO_infected
0	1.59061357972945	TCells2	KO_infected
0	0	NaturalKillerCells	KO_infected
0.659528973381549	0	TCells1	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	TCells1	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0.649497430959885	TCells2	KO_infected
0	0	TCells1	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	2.26193204463412	TCells2	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	2.0437969549069	TCells2	KO_infected
0	1.18047195558545	TCells1	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	1.55254375705506	TCells3	KO_infected
0.236248510854967	1.05271600115027	TCells1	KO_infected
0	0	TCells2	KO_infected
0	0	OtherLymphoidCells	KO_infected
