group	shortName	count	quadrant
1	EntericGliaCells	62	WT_uninfected
2	LymphaticEndothelialCells	18	WT_uninfected
3	EndothelialCells1	80	WT_uninfected
4	EndothelialCells2	54	WT_uninfected
5	SmoothMuscleCells	11	WT_uninfected
6	Pericytes	8	WT_uninfected
7	InterstitialCellsOfCajal	42	WT_uninfected
8	Fibroblasts1	140	WT_uninfected
9	Fibroblasts2	61	WT_uninfected
10	MesothelialCells1	61	WT_uninfected
11	MesothelialCells2	65	WT_uninfected
12	MesothelialCells3	3	WT_uninfected
13	MesothelialCells4	0	WT_uninfected
14	MesothelialCells5	8	WT_uninfected
15	EpithelialCells	12	WT_uninfected
16	MuscularisMacrophages1	129	WT_uninfected
17	MuscularisMacrophages2	332	WT_uninfected
18	MuscularisMacrophages3	343	WT_uninfected
19	MuscularisMacrophages4	139	WT_uninfected
20	CyclingMacrophages	60	WT_uninfected
21	MonocyteMacrophages	42	WT_uninfected
22	DendriticCells1	13	WT_uninfected
23	DendriticCells2	20	WT_uninfected
24	Neutrophils	9	WT_uninfected
25	OtherLymphoidCells	44	WT_uninfected
26	NaturalKillerCells	8	WT_uninfected
27	TCells1	17	WT_uninfected
28	TCells2	10	WT_uninfected
29	TCells3	31	WT_uninfected
30	Bcells	35	WT_uninfected
1	EntericGliaCells	19	WT_infected
2	LymphaticEndothelialCells	5	WT_infected
3	EndothelialCells1	24	WT_infected
4	EndothelialCells2	19	WT_infected
5	SmoothMuscleCells	9	WT_infected
6	Pericytes	5	WT_infected
7	InterstitialCellsOfCajal	50	WT_infected
8	Fibroblasts1	68	WT_infected
9	Fibroblasts2	47	WT_infected
10	MesothelialCells1	11	WT_infected
11	MesothelialCells2	44	WT_infected
12	MesothelialCells3	3	WT_infected
13	MesothelialCells4	4	WT_infected
14	MesothelialCells5	3	WT_infected
15	EpithelialCells	10	WT_infected
16	MuscularisMacrophages1	495	WT_infected
17	MuscularisMacrophages2	153	WT_infected
18	MuscularisMacrophages3	102	WT_infected
19	MuscularisMacrophages4	198	WT_infected
20	CyclingMacrophages	135	WT_infected
21	MonocyteMacrophages	335	WT_infected
22	DendriticCells1	52	WT_infected
23	DendriticCells2	209	WT_infected
24	Neutrophils	148	WT_infected
25	OtherLymphoidCells	76	WT_infected
26	NaturalKillerCells	84	WT_infected
27	TCells1	205	WT_infected
28	TCells2	172	WT_infected
29	TCells3	31	WT_infected
30	Bcells	41	WT_infected
1	EntericGliaCells	231	KO_uninfected
2	LymphaticEndothelialCells	30	KO_uninfected
3	EndothelialCells1	105	KO_uninfected
4	EndothelialCells2	29	KO_uninfected
5	SmoothMuscleCells	14	KO_uninfected
6	Pericytes	17	KO_uninfected
7	InterstitialCellsOfCajal	115	KO_uninfected
8	Fibroblasts1	153	KO_uninfected
9	Fibroblasts2	312	KO_uninfected
10	MesothelialCells1	689	KO_uninfected
11	MesothelialCells2	264	KO_uninfected
12	MesothelialCells3	36	KO_uninfected
13	MesothelialCells4	1	KO_uninfected
14	MesothelialCells5	28	KO_uninfected
15	EpithelialCells	19	KO_uninfected
16	MuscularisMacrophages1	199	KO_uninfected
17	MuscularisMacrophages2	401	KO_uninfected
18	MuscularisMacrophages3	287	KO_uninfected
19	MuscularisMacrophages4	170	KO_uninfected
20	CyclingMacrophages	40	KO_uninfected
21	MonocyteMacrophages	52	KO_uninfected
22	DendriticCells1	16	KO_uninfected
23	DendriticCells2	59	KO_uninfected
24	Neutrophils	39	KO_uninfected
25	OtherLymphoidCells	67	KO_uninfected
26	NaturalKillerCells	39	KO_uninfected
27	TCells1	13	KO_uninfected
28	TCells2	31	KO_uninfected
29	TCells3	68	KO_uninfected
30	Bcells	66	KO_uninfected
1	EntericGliaCells	26	KO_infected
2	LymphaticEndothelialCells	7	KO_infected
3	EndothelialCells1	31	KO_infected
4	EndothelialCells2	1	KO_infected
5	SmoothMuscleCells	39	KO_infected
6	Pericytes	10	KO_infected
7	InterstitialCellsOfCajal	3	KO_infected
8	Fibroblasts1	42	KO_infected
9	Fibroblasts2	39	KO_infected
10	MesothelialCells1	4	KO_infected
11	MesothelialCells2	242	KO_infected
12	MesothelialCells3	2	KO_infected
13	MesothelialCells4	25	KO_infected
14	MesothelialCells5	0	KO_infected
15	EpithelialCells	1	KO_infected
16	MuscularisMacrophages1	500	KO_infected
17	MuscularisMacrophages2	266	KO_infected
18	MuscularisMacrophages3	196	KO_infected
19	MuscularisMacrophages4	246	KO_infected
20	CyclingMacrophages	151	KO_infected
21	MonocyteMacrophages	339	KO_infected
22	DendriticCells1	84	KO_infected
23	DendriticCells2	251	KO_infected
24	Neutrophils	225	KO_infected
25	OtherLymphoidCells	69	KO_infected
26	NaturalKillerCells	74	KO_infected
27	TCells1	100	KO_infected
28	TCells2	67	KO_infected
29	TCells3	40	KO_infected
30	Bcells	30	KO_infected
