group	gene	expressedIn	meanExpression
EntericGliaCells	Sox10	0.952662721893491	1.89389451443372
EntericGliaCells	Col6a1	0.502958579881657	1.27165215243915
EntericGliaCells	Apoe	1	4.50793520006115
LymphaticEndothelialCells	Kdr	1	1.98589117281779
LymphaticEndothelialCells	Lyve1	0.95	3.31998639071357
LymphaticEndothelialCells	Pdpn	0.883333333333333	1.83900931381918
LymphaticEndothelialCells	Apoe	0.5	1.89988528719275
EndothelialCells1	Kdr	0.9	1.69411582076106
EndothelialCells1	Flt1	0.983333333333333	2.32238517433578
EndothelialCells1	Apoe	0.8625	2.45774299275077
EndothelialCells2	Kdr	0.883495145631068	1.29113752970401
EndothelialCells2	Lyve1	0.262135922330097	0.998615611737752
EndothelialCells2	Flt1	0.970873786407767	1.80306102929296
EndothelialCells2	Actg2	0.252427184466019	0.593936744886555
EndothelialCells2	Col6a1	0.281553398058252	1.46562136740212
EndothelialCells2	Ptprc	0.689320388349515	1.42155313974821
EndothelialCells2	Itgam	0.485436893203884	0.970332208868481
EndothelialCells2	Adgre1	0.631067961165049	1.35979632866232
EndothelialCells2	Fcrls	0.563106796116505	1.38706285582555
EndothelialCells2	C1qa	0.737864077669903	3.23532197108369
EndothelialCells2	Apoe	0.922330097087379	3.89907272638319
SmoothMuscleCells	Pdgfrb	0.287671232876712	0.466929393057234
SmoothMuscleCells	Actg2	0.945205479452055	3.1325968209063
SmoothMuscleCells	Pdgfra	0.26027397260274	0.8105753773186
SmoothMuscleCells	Col6a1	0.876712328767123	1.31886171033106
SmoothMuscleCells	Pdpn	0.602739726027397	1.48652373004836
SmoothMuscleCells	Apoe	0.712328767123288	1.09263923860389
Pericytes	Pdgfrb	0.9	2.52961218174746
Pericytes	Actg2	0.3	1.38100027594836
Pericytes	Col6a1	0.9	2.15957815275168
Pericytes	Apoe	0.6	2.14347799624733
InterstitialCellsOfCajal	Pdgfrb	0.347619047619048	0.96757913811374
InterstitialCellsOfCajal	Kit	0.995238095238095	3.21658647086212
InterstitialCellsOfCajal	Actg2	0.3	0.978280471145758
