UMAP_1	UMAP_2	genotype
-10.7161339333503	0.700154654240589	WT
-11.6413382103888	0.487393252110462	WT
-11.6361683419196	-0.0661870320081899	WT
-12.1654490044562	0.639060370182972	WT
-11.5427673867194	0.641299597477894	WT
-10.5590313485114	0.365539542889576	WT
-4.49253283052129	-3.89361966445448	WT
-11.0562475731818	-0.308887370371837	WT
-10.7776964714972	0.297515384411793	WT
-11.5037439873664	0.23415898487566	WT
-11.5037573388068	-0.12590599849226	WT
-4.22309337167424	-3.90435350730421	WT
-11.6879795601813	-0.132931001925487	WT
-5.77349315194768	-8.11241067245008	WT
-5.8849648049323	-8.01381219222547	WT
-12.0296410134284	0.258175603604298	WT
-10.8233526757209	0.651308409428578	WT
-3.52954612283391	-4.69019497230055	WT
-11.4523905327765	0.829174629902821	WT
-11.1134451439826	0.032016984677296	WT
-10.773783545777	0.32412480518816	WT
-4.3666280320136	-3.83444464995863	WT
-11.365001540467	0.893299929356556	WT
-11.6159485390632	-0.15297103717329	WT
-10.6077917626349	0.205785385823231	WT
-11.3283079674689	-0.283784397387523	WT
-12.0425480416266	0.52997516796587	WT
-10.2686451485602	0.279894940114003	WT
-10.9499949028937	1.01973163292406	WT
-11.3160475304572	1.05000816986559	WT
-11.7246120980231	-0.124388345026989	WT
-11.889617781922	0.37308835194109	WT
-11.8781469872443	0.599163643574696	WT
-11.2898701241462	0.645046107029896	WT
-10.922163825318	0.86179935142992	WT
0.293241460040389	-9.7060509999037	WT
-10.3786963036506	0.360547296261769	WT
-11.647752623841	0.928048722004872	WT
-10.698344092652	-0.116791137003917	WT
-11.1168488076178	-0.317411669039745	WT
0.0179796406777487	-9.9077111561537	WT
-10.8505934288947	0.0137175242662242	WT
-10.8059500267951	0.240053884243946	WT
-11.2556131890265	0.876165739750843	WT
-11.5782135537116	0.156365982747059	WT
-11.5646036675422	0.268773190236073	WT
-11.1132057717292	0.526418678021412	WT
-1.76148841886205	-1.87213612391951	WT
-11.0496748497931	-0.394115098261852	WT
-10.9212206414191	-0.0663821776151845	WT
-3.51626048593205	-6.01966107680799	WT
-10.6011627724616	0.11531292603014	WT
-11.6556271126716	0.30914198563097	WT
-4.23125348596257	-4.01903284385206	WT
-11.7566221764533	0.0954805533647349	WT
-4.19218049554509	-3.96119297339918	WT
-12.1125277092902	0.622149578785878	WT
-11.6125792077033	0.662318579411488	WT
-10.5155962517707	0.133955709195118	WT
-11.2751253655402	0.363292805409413	WT
-3.71188030748052	-6.21035588576796	WT
-10.335478644654	0.336615316128712	WT
-11.0687998345343	0.0309306304216197	WT
-11.7414406350104	0.807883612370472	WT
-12.002410750672	0.617036453938465	WT
-10.7689379265754	-0.0778501112699697	WT
-10.7698687127082	0.614460460400563	WT
-11.6341208031623	0.0397720257997325	WT
-11.4113863518683	0.603238336300831	WT
-11.6396044304816	-0.12485242679121	WT
-11.748561721131	0.392291061139088	WT
-11.7719019463508	0.845269314503651	WT
-11.6605518868415	0.101044289326649	WT
-10.4454496911017	0.40439151928423	WT
-10.8074072411506	-0.186058052325268	WT
-11.462507109925	-0.0262242634535024	WT
-11.9996479561774	0.713100067830067	WT
-11.2485397866218	0.296994320607167	WT
-10.8912323525397	0.254072062230091	WT
-11.0977238228766	-0.0707233031034658	WT
-10.9247520974128	0.562510244107228	WT
-10.3181532433478	0.516881577229481	WT
0.100942988112746	-9.78602708175184	WT
-11.1685608437507	-0.344321020388622	WT
-10.7184809258429	0.145122400975209	WT
-4.23934708146733	-3.87741149261	WT
-11.4977119973151	0.723372570729237	WT
-11.7533434441535	0.772566191411	WT
-10.9882134011237	-0.190104730868358	WT
-11.3636702111213	0.276848785138111	WT
-5.87687573938054	-8.20742238357069	WT
-11.4607389977424	-0.396038957381267	WT
-11.3647593071906	0.024675242161732	WT
-5.78229651956242	-8.30789817168714	WT
-11.3075388482062	-0.230301268839855	WT
-11.9075268319098	0.550532094693165	WT
0.211189884856521	-9.78728783919813	WT
-11.3678406289069	0.680379263615589	WT
-10.636688094422	-0.0841431696653554	WT
-11.3929594567267	0.246125332570057	WT
-11.9538725426642	0.180316678738575	WT
-11.2099979927985	0.798401943898182	WT
-11.5908392479865	-0.0835567791700551	WT
0.31891318054515	-9.77958119704725	WT
-11.0813740303962	-0.395073302531261	WT
-10.1895922234504	0.478676192021351	WT
0.342982191756545	-9.77193559005262	WT
-11.9021404793708	0.211261145329457	WT
-4.36077676324529	-3.79702270820143	WT
-3.61003790406865	-6.13083566024305	WT
-10.4547384789435	0.193426958775502	WT
-11.5393637230842	-0.229077227854747	WT
0.164041120723067	-9.88224042251112	WT
-11.6934107354133	0.0757895629167369	WT
-5.789691787049	-8.33637488677503	WT
-12.0193089058844	0.763223997807484	WT
-12.115752082154	0.675614945149403	WT
-10.9620693734137	0.563629738545399	WT
-11.9273470452277	0.349048248982411	WT
-11.34179006128	0.407824866032582	WT
-11.0713442376105	0.786127440190296	WT
-11.9468506386725	0.303926102375965	WT
-4.19885645417851	-4.01500881507399	WT
-11.5661285927741	0.639254919743519	WT
0.20264257879573	-9.77488339736463	WT
-11.4363354256598	0.314847699856739	WT
-11.6575239708869	-0.198116429591198	WT
-11.9560936501471	0.702709309315663	WT
