UMAP_1	UMAP_2	genotype
2.57267553049698	8.61449823614879	WT
2.79065496164933	7.95274076697155	WT
1.74737042624131	8.34356985327526	WT
1.28299850660935	6.77863703009411	WT
1.99510461527482	7.36637125250622	WT
1.86040789324418	8.27837763068004	WT
2.26698381144181	6.45976839300914	WT
1.03177446562424	8.20578775641246	WT
2.01163751322404	9.10046205755993	WT
2.55729014116898	8.93484697577282	WT
3.83418399531022	7.89523420569225	WT
3.18945056635514	7.89704618689342	WT
2.53454000193253	8.92132005926891	WT
1.85968214708939	3.30869302984996	WT
1.41904443937913	7.92743788000866	WT
1.03014392096177	7.87677488562389	WT
0.71442294556275	6.05623255011364	WT
1.67920345503464	8.57515440222545	WT
2.19387394625321	8.43262300726696	WT
3.63343269068375	5.47297487494274	WT
4.43121988016739	7.73213682410045	WT
2.68152577120438	8.64441595312877	WT
4.40959769922867	7.64463339087291	WT
3.42154151636735	4.8878227257423	WT
4.0883448763527	-9.03191175225453	WT
3.05949122149125	6.62806377646251	WT
3.52282005983964	7.34359655615612	WT
1.731145445887	6.25734243628307	WT
1.65786976057664	8.06846151587291	WT
-0.334109130617231	0.98766265150829	WT
1.69722921091691	6.34153089758678	WT
1.21507913309708	5.50473079916759	WT
2.38672668177262	6.72187862631603	WT
1.81686860758439	7.00344429251476	WT
2.99991661745682	8.00133524176403	WT
3.1034234209694	4.84212408301159	WT
3.85282689768448	5.23008594748302	WT
2.20344549852982	7.30462846991344	WT
2.08588153559342	4.48436031576915	WT
2.24708897310868	5.48404751059337	WT
2.30971676546708	5.50127325293346	WT
1.34191197592393	6.41150722739025	WT
1.83557707506791	7.03680525061413	WT
1.02284473616257	8.30193147894664	WT
3.63401753145829	5.83447942969127	WT
2.8327775641121	8.75602731940075	WT
0.983510438982397	8.31401739355846	WT
1.9864149733223	7.09972057577892	WT
1.80711919504777	7.15699968573375	WT
3.76643258768693	8.37666330572887	WT
1.8465817614235	8.42760858771129	WT
1.42313296038285	5.8563114189796	WT
1.33377844530717	7.26321134802623	WT
2.71571761805192	7.39306364294811	WT
2.88292509752885	4.66387281653209	WT
2.06968051630631	8.44532976385875	WT
1.95289189058915	7.38465223547741	WT
1.864042346064	7.37881670233532	WT
1.81992966372147	4.91207514044567	WT
3.79983407694474	5.35727415320202	WT
3.32867223459855	8.03462896582409	WT
2.47336131769791	8.8304873490028	WT
2.09455305773392	7.32265482184215	WT
3.13010532099381	6.81670007941051	WT
3.10879642206803	8.18988237616344	WT
0.72933024603501	6.16789064642711	WT
1.20161492067948	5.27954969641491	WT
1.47608632284775	3.63513956305309	WT
1.03711349207535	5.76132641073986	WT
2.06726795870438	8.33361158606334	WT
1.10803193289414	8.30329237219616	WT
2.60123426157609	6.07429609534069	WT
1.94062310892716	5.15290317770763	WT
1.80561072069779	4.68892584082409	WT
3.15308601099625	7.72598085638805	WT
3.30325657564774	4.91380939719005	WT
3.65708762842789	7.46392355200573	WT
1.77852613169327	8.45697603461071	WT
2.23646122652665	8.15385923620983	WT
3.12959391314164	7.54975090262218	WT
0.880742733065039	5.51800403830333	WT
2.93522555071488	4.59479675528331	WT
2.88625866610184	8.38986120459362	WT
2.18138629633561	8.98193750616832	WT
3.38467604357377	4.96818075415416	WT
2.42744762140885	3.25010667082592	WT
2.31590944964066	4.36271486517711	WT
3.00284678179398	5.69224796530529	WT
0.689380292478949	6.18631801840587	WT
1.43832558828965	8.036699392765	WT
2.2552080794014	7.92368326422497	WT
1.54467398363724	7.34198580023571	WT
1.28279513556138	7.59958467718883	WT
3.85573178965226	8.36286173102184	WT
2.07555109697953	7.63691721197887	WT
2.01965219217911	7.71656141516491	WT
2.60720164019242	4.54156933066173	WT
0.965200130525976	6.99055490729137	WT
2.59896189409867	6.98781786200329	WT
2.51035911280289	8.66526327368541	WT
3.23888022143021	5.04248485800548	WT
1.55697745520249	2.90571007963939	WT
2.35120636660233	7.44682226416393	WT
0.738539402071387	6.87318477865978	WT
1.8949113531746	6.78946981665416	WT
3.91326648432389	5.87247572180553	WT
2.05007774073258	8.37408075568004	WT
2.37146908480302	7.5845247292213	WT
-0.473445500548929	1.0468586468391	WT
1.52412194449082	7.4530664467506	WT
2.17539483744279	4.58094272848888	WT
2.91998345095292	8.75503263708873	WT
2.10507327753678	7.80625829932018	WT
2.6861608668007	7.81520185705944	WT
0.161347482983023	-5.48549642327503	WT
2.18152696329728	4.58687792059704	WT
3.68406898218766	5.14154587027355	WT
2.18373400408402	8.75844774481578	WT
0.752723221365362	7.40545807120128	WT
1.08315688807145	7.85335359808727	WT
0.853004996363074	7.47736797568126	WT
4.56090623575821	7.57212171789928	WT
1.16866630751267	8.03606424567028	WT
2.73349053103104	8.21298799750133	WT
0.567871276918799	6.48339996573253	WT
2.18185860354081	8.51315794226451	WT
1.84969121653214	8.43771276709362	WT
2.86999708849564	8.64538679358287	WT
3.22080237108842	4.68361006018444	WT
1.45828110415116	6.08272419211193	WT
2.37250501352921	4.67600784537121	WT
4.54359084803238	7.80809793707653	WT
4.54352122980729	7.79634485480114	WT
1.62157696921006	2.82523880240245	WT
3.31190568644181	7.89897833105846	WT
1.81123334604874	7.34532032248302	WT
1.61354667383805	7.29100618597789	WT
2.46455032068864	6.69158897635265	WT
2.17017704683915	8.56612310644909	WT
1.21164328295365	7.43251905676647	WT
0.858245079103857	6.38500128027721	WT
2.38906985956803	8.23195467230602	WT
2.93393403727189	6.74222383734508	WT
1.29855126577988	7.00564060446544	WT
1.94451266962662	8.63202486273571	WT
0.9828224821724	7.88702020880504	WT
2.9593153639473	5.13898382422252	WT
3.79932100016251	5.15082178351207	WT
3.90061933237687	8.35977564093395	WT
2.8473838015236	9.09269151922985	WT
4.47972232538834	7.77798757788463	WT
1.08905953604355	7.72794161078258	WT
2.16780287462845	4.80470047232433	WT
2.0434868975319	8.92601404425426	WT
1.44694787699357	8.30913267370983	WT
1.42343897062913	7.37925348517223	WT
2.49651390749589	3.42527423140331	WT
1.48419422346726	8.43494234320446	WT
2.81708080011979	7.86806593176647	WT
2.10311156946793	8.01459799048229	WT
1.34989208418503	7.36370477911754	WT
0.798729483667761	6.31816969153209	WT
0.703110282007605	6.64879856344982	WT
-0.450432117398828	1.06455490824505	WT
2.81536680895463	6.62375507590099	WT
2.88331371981278	5.15061340567394	WT
1.39615768629685	5.08516655203624	WT
1.94689113337174	6.61267814871593	WT
1.0329979105629	8.26355753180309	WT
1.81986600596085	4.58145771261974	WT
2.12928206164017	8.49065408942028	WT
2.46734267908707	7.64447603461071	WT
2.08636790949479	6.65165100333019	WT
2.33658248621598	5.97113619086071	WT
1.62922317225114	7.72519979712291	WT
1.52258223730698	4.8091980004005	WT
3.53312665659562	5.90720949408336	WT
2.46754533487931	6.24835071799083	WT
1.03315550524369	8.48267851111217	WT
1.92503315645829	5.98153839346691	WT
0.368266586843878	-5.29664029839711	WT
1.99021178919449	8.60070619818493	WT
1.61838955122605	6.92599830862804	WT
2.73277289110795	6.825189211338	WT
1.66200548845902	6.66734276053234	WT
1.75672716337815	7.86244879004284	WT
1.5542176409401	7.59446869131847	WT
3.84878236490861	5.08769712683483	WT
0.615970973554999	6.39547834631725	WT
1.83065373140946	6.48805675741955	WT
1.61286527353898	6.9531360649757	WT
1.99361616808549	9.05388078924938	WT
3.75888902384415	8.33435735937877	WT
1.49941927630082	7.06117782828136	WT
1.75091952520981	8.34469709631725	WT
1.56679004866257	7.84921274420543	WT
2.10820776659623	7.50318298575206	WT
1.07906991678849	7.14646158453747	WT
1.37347525793687	6.63765630957409	WT
1.98928434092179	7.81802854773327	WT
2.61475259501114	7.89125261542125	WT
2.43942648607865	6.92442426916881	WT
3.20320660311356	8.33853159186168	WT
1.87020832735673	7.84831629034801	WT
3.47921687800065	7.17448673483654	WT
2.26991540629044	6.73541412588878	WT
1.81285196978226	7.73220548865123	WT
3.40214592653885	8.66975126501842	WT
2.73133117396012	7.66505632635875	WT
2.73400074679032	8.46143636938854	WT
1.59237486559525	7.33722124335094	WT
3.74875337320939	7.59449491736217	WT
0.588458065573126	6.72373638388439	WT
1.78372103411332	5.50558195349498	WT
2.1532588644661	8.15197859045787	WT
1.20971423823014	5.7659178757362	WT
0.919499222818762	7.68888197180553	WT
2.12465268808976	8.70657930609508	WT
4.14137345987931	-9.09510984185414	WT
0.836560551706702	7.58097038504406	WT
1.93368298250809	7.70015058752819	WT
3.54497915941849	8.1216021561317	WT
1.11543673712388	7.92862901922985	WT
-0.464936997111887	1.11759016749187	WT
1.59834486681595	7.90111265417858	WT
0.959876839701086	7.64026794668956	WT
2.20797211367264	4.53435907599254	WT
4.1895764513649	7.56664190527721	WT
3.29249817568436	8.56480989691539	WT
-0.536093945916742	5.08694849249645	WT
1.76003009516373	7.16228876349254	WT
1.85836273867264	7.95623026129528	WT
1.7312070770897	7.06524048086925	WT
1.33130079943314	6.51409397360607	WT
1.95020539003983	7.02041588064953	WT
2.77988559443131	8.81092939612194	WT
1.59155911642686	7.88505087134166	WT
2.66076571184769	8.75849638220592	WT
0.549610976759344	6.38574705359264	WT
3.96382219034806	-9.11384000542836	WT
2.07354599672928	5.97726307150646	WT
2.34524518686906	6.51274118658825	WT
2.14022738176957	5.69511804816051	WT
1.29815096098557	7.3098312401466	WT
1.41306704718247	8.16303167578502	WT
4.02416354853287	7.66334924933239	WT
1.81294876772538	8.61911115881725	WT
-0.386020223911852	1.03250203367992	WT
2.89512998301163	8.36984548804088	WT
-0.524197603877634	0.992072083919484	WT
1.972112242762	6.15859041449352	WT
3.40294939715043	8.08952722784801	WT
2.75172597605363	7.86235437628551	WT
2.78612667757645	7.69612131354137	WT
3.57586104113236	4.94913826224132	WT
0.614443723741919	6.224274733036	WT
3.79840928751603	8.23645601507946	WT
2.28720790583268	6.06531582114025	WT
1.68324107367173	6.3646293663673	WT
2.76602536875382	6.58738670584484	WT
2.56364924151078	8.69675550696178	WT
2.51909596163407	8.92542085882946	WT
2.52565175730363	8.46453390356823	WT
-0.389255295809358	1.1805496000938	WT
2.25090057093278	7.12598619696422	WT
2.94155270296708	6.97604475256725	WT
1.8115885897316	7.77816782233043	WT
1.33733827311173	5.13725815054699	WT
3.3085687800087	8.79775152441784	WT
1.37498861986771	8.40874300238414	WT
1.4222162409462	6.3696776413612	WT
2.12216455179825	7.10013590094372	WT
3.1964877291359	6.75017652746959	WT
3.45693046290055	7.97949705359264	WT
3.62205416399613	8.49705991980358	WT
-0.15896643262729	1.1766501450233	WT
1.12776250082627	8.0046530747108	WT
2.5124695940651	8.43596468207164	WT
2.14427429873124	3.48430118796154	WT
1.59336704451218	7.97127924200817	WT
1.7828508062996	3.04324946638866	WT
2.93709522921219	7.79329309698864	WT
3.10510212618485	5.3023472809486	WT
3.27236777979508	7.70238981482311	WT
2.21797711092606	8.14754209753795	WT
4.26002151209488	7.90744886633678	WT
2.99629074770585	6.65785084006115	WT
2.72174007136002	7.99060831305309	WT
0.830658261362463	7.22507009741588	WT
4.13997251230851	7.34648142096325	WT
4.52313834864274	7.62788543936535	WT
2.54928476053849	8.51471147772594	WT
2.55738217074052	7.13751945730968	WT
2.30282384592667	7.60793981787487	WT
2.31446296412125	8.5356589340858	WT
2.33717996317521	8.79785452124401	WT
1.74790722567216	6.94419822928234	WT
2.93835097986832	5.98234520193859	WT
2.88524395662919	8.85375318762584	WT
3.03907376963273	4.64009247061535	WT
1.64933079916611	7.73857031103893	WT
2.73523861605302	8.34496126410289	WT
2.51491576868668	7.32068643805309	WT
0.890639607492834	7.38057241675182	WT
1.87681967455521	4.82663545843883	WT
0.959252421442419	6.10377226111217	WT
3.54679638582841	8.52086076971813	WT
2.15310103136674	3.11124954458995	WT
-0.330832387622446	1.20301757094188	WT
2.69272834498063	7.66043863531872	WT
1.34721547800675	5.06153259512706	WT
3.34913260180131	7.96245012518688	WT
2.2271707697548	8.62099561926647	WT
2.71015006739274	8.93072996374889	WT
