shortName	quadrant1	quadrant2	DEGenes	comparison
MesothelialCells2	KO_uninfected	KO_infected	85	KO_infected vs KO_uninfected
MuscularisMacrophages1	KO_uninfected	KO_infected	134	KO_infected vs KO_uninfected
MuscularisMacrophages2	KO_uninfected	KO_infected	83	KO_infected vs KO_uninfected
MuscularisMacrophages3	KO_uninfected	KO_infected	117	KO_infected vs KO_uninfected
MuscularisMacrophages4	KO_uninfected	KO_infected	371	KO_infected vs KO_uninfected
MonocyteMacrophages	KO_uninfected	KO_infected	106	KO_infected vs KO_uninfected
DendriticCells2	KO_uninfected	KO_infected	157	KO_infected vs KO_uninfected
EntericGliaCells	KO_uninfected	KO_infected	0	KO_infected vs KO_uninfected
LymphaticEndothelialCells	KO_uninfected	KO_infected	0	KO_infected vs KO_uninfected
EndothelialCells1	KO_uninfected	KO_infected	0	KO_infected vs KO_uninfected
EndothelialCells2	KO_uninfected	KO_infected	0	KO_infected vs KO_uninfected
SmoothMuscleCells	KO_uninfected	KO_infected	0	KO_infected vs KO_uninfected
Pericytes	KO_uninfected	KO_infected	0	KO_infected vs KO_uninfected
InterstitialCellsOfCajal	KO_uninfected	KO_infected	0	KO_infected vs KO_uninfected
Fibroblasts1	KO_uninfected	KO_infected	0	KO_infected vs KO_uninfected
Fibroblasts2	KO_uninfected	KO_infected	0	KO_infected vs KO_uninfected
MesothelialCells1	KO_uninfected	KO_infected	0	KO_infected vs KO_uninfected
MesothelialCells3	KO_uninfected	KO_infected	0	KO_infected vs KO_uninfected
MesothelialCells4	KO_uninfected	KO_infected	0	KO_infected vs KO_uninfected
MesothelialCells5	KO_uninfected	KO_infected	0	KO_infected vs KO_uninfected
EpithelialCells	KO_uninfected	KO_infected	0	KO_infected vs KO_uninfected
CyclingMacrophages	KO_uninfected	KO_infected	0	KO_infected vs KO_uninfected
DendriticCells1	KO_uninfected	KO_infected	0	KO_infected vs KO_uninfected
Neutrophils	KO_uninfected	KO_infected	0	KO_infected vs KO_uninfected
OtherLymphoidCells	KO_uninfected	KO_infected	0	KO_infected vs KO_uninfected
NaturalKillerCells	KO_uninfected	KO_infected	0	KO_infected vs KO_uninfected
TCells1	KO_uninfected	KO_infected	0	KO_infected vs KO_uninfected
TCells2	KO_uninfected	KO_infected	0	KO_infected vs KO_uninfected
TCells3	KO_uninfected	KO_infected	0	KO_infected vs KO_uninfected
Bcells	KO_uninfected	KO_infected	0	KO_infected vs KO_uninfected
