shortName	quadrant1	quadrant2	DEGenes	comparison
MuscularisMacrophages1	WT_infected	KO_infected	25	KO_infected vs WT_infected
MuscularisMacrophages2	WT_infected	KO_infected	54	KO_infected vs WT_infected
MuscularisMacrophages3	WT_infected	KO_infected	61	KO_infected vs WT_infected
MuscularisMacrophages4	WT_infected	KO_infected	22	KO_infected vs WT_infected
CyclingMacrophages	WT_infected	KO_infected	203	KO_infected vs WT_infected
MonocyteMacrophages	WT_infected	KO_infected	45	KO_infected vs WT_infected
DendriticCells2	WT_infected	KO_infected	4	KO_infected vs WT_infected
Neutrophils	WT_infected	KO_infected	61	KO_infected vs WT_infected
TCells1	WT_infected	KO_infected	21	KO_infected vs WT_infected
TCells2	WT_infected	KO_infected	8	KO_infected vs WT_infected
EntericGliaCells	WT_infected	KO_infected	0	KO_infected vs WT_infected
LymphaticEndothelialCells	WT_infected	KO_infected	0	KO_infected vs WT_infected
EndothelialCells1	WT_infected	KO_infected	0	KO_infected vs WT_infected
EndothelialCells2	WT_infected	KO_infected	0	KO_infected vs WT_infected
SmoothMuscleCells	WT_infected	KO_infected	0	KO_infected vs WT_infected
Pericytes	WT_infected	KO_infected	0	KO_infected vs WT_infected
InterstitialCellsOfCajal	WT_infected	KO_infected	0	KO_infected vs WT_infected
Fibroblasts1	WT_infected	KO_infected	0	KO_infected vs WT_infected
Fibroblasts2	WT_infected	KO_infected	0	KO_infected vs WT_infected
MesothelialCells1	WT_infected	KO_infected	0	KO_infected vs WT_infected
MesothelialCells2	WT_infected	KO_infected	0	KO_infected vs WT_infected
MesothelialCells3	WT_infected	KO_infected	0	KO_infected vs WT_infected
MesothelialCells4	WT_infected	KO_infected	0	KO_infected vs WT_infected
MesothelialCells5	WT_infected	KO_infected	0	KO_infected vs WT_infected
EpithelialCells	WT_infected	KO_infected	0	KO_infected vs WT_infected
DendriticCells1	WT_infected	KO_infected	0	KO_infected vs WT_infected
OtherLymphoidCells	WT_infected	KO_infected	0	KO_infected vs WT_infected
NaturalKillerCells	WT_infected	KO_infected	0	KO_infected vs WT_infected
TCells3	WT_infected	KO_infected	0	KO_infected vs WT_infected
Bcells	WT_infected	KO_infected	0	KO_infected vs WT_infected
