shortName	quadrant1	quadrant2	DEGenes	comparison
EntericGliaCells	WT_uninfected	KO_uninfected	31	KO_uninfected vs WT_uninfected
EndothelialCells1	WT_uninfected	KO_uninfected	18	KO_uninfected vs WT_uninfected
Fibroblasts1	WT_uninfected	KO_uninfected	29	KO_uninfected vs WT_uninfected
Fibroblasts2	WT_uninfected	KO_uninfected	69	KO_uninfected vs WT_uninfected
MesothelialCells1	WT_uninfected	KO_uninfected	215	KO_uninfected vs WT_uninfected
MesothelialCells2	WT_uninfected	KO_uninfected	380	KO_uninfected vs WT_uninfected
MuscularisMacrophages1	WT_uninfected	KO_uninfected	20	KO_uninfected vs WT_uninfected
MuscularisMacrophages2	WT_uninfected	KO_uninfected	34	KO_uninfected vs WT_uninfected
MuscularisMacrophages3	WT_uninfected	KO_uninfected	42	KO_uninfected vs WT_uninfected
MuscularisMacrophages4	WT_uninfected	KO_uninfected	41	KO_uninfected vs WT_uninfected
LymphaticEndothelialCells	WT_uninfected	KO_uninfected	0	KO_uninfected vs WT_uninfected
EndothelialCells2	WT_uninfected	KO_uninfected	0	KO_uninfected vs WT_uninfected
SmoothMuscleCells	WT_uninfected	KO_uninfected	0	KO_uninfected vs WT_uninfected
Pericytes	WT_uninfected	KO_uninfected	0	KO_uninfected vs WT_uninfected
InterstitialCellsOfCajal	WT_uninfected	KO_uninfected	0	KO_uninfected vs WT_uninfected
MesothelialCells3	WT_uninfected	KO_uninfected	0	KO_uninfected vs WT_uninfected
MesothelialCells4	WT_uninfected	KO_uninfected	0	KO_uninfected vs WT_uninfected
MesothelialCells5	WT_uninfected	KO_uninfected	0	KO_uninfected vs WT_uninfected
EpithelialCells	WT_uninfected	KO_uninfected	0	KO_uninfected vs WT_uninfected
CyclingMacrophages	WT_uninfected	KO_uninfected	0	KO_uninfected vs WT_uninfected
MonocyteMacrophages	WT_uninfected	KO_uninfected	0	KO_uninfected vs WT_uninfected
DendriticCells1	WT_uninfected	KO_uninfected	0	KO_uninfected vs WT_uninfected
DendriticCells2	WT_uninfected	KO_uninfected	0	KO_uninfected vs WT_uninfected
Neutrophils	WT_uninfected	KO_uninfected	0	KO_uninfected vs WT_uninfected
OtherLymphoidCells	WT_uninfected	KO_uninfected	0	KO_uninfected vs WT_uninfected
NaturalKillerCells	WT_uninfected	KO_uninfected	0	KO_uninfected vs WT_uninfected
TCells1	WT_uninfected	KO_uninfected	0	KO_uninfected vs WT_uninfected
TCells2	WT_uninfected	KO_uninfected	0	KO_uninfected vs WT_uninfected
TCells3	WT_uninfected	KO_uninfected	0	KO_uninfected vs WT_uninfected
Bcells	WT_uninfected	KO_uninfected	0	KO_uninfected vs WT_uninfected
