cell	expression
MuscularisMacrophages2	0
NaturalKillerCells	1.18036255377985
MuscularisMacrophages4	0
MuscularisMacrophages3	0
TCells1	0.692198532312453
MuscularisMacrophages2	0.230798497145925
MuscularisMacrophages3	0
MuscularisMacrophages4	0
MuscularisMacrophages1	0
MuscularisMacrophages3	0
MuscularisMacrophages1	0
CyclingMacrophages	0
MonocyteMacrophages	0
CyclingMacrophages	0
MuscularisMacrophages1	0
CyclingMacrophages	0
MuscularisMacrophages2	0
OtherLymphoidCells	0
MonocyteMacrophages	0
MuscularisMacrophages1	0
MuscularisMacrophages3	0
DendriticCells2	0
OtherLymphoidCells	0
NaturalKillerCells	0
DendriticCells1	0
DendriticCells2	0
DendriticCells1	0
TCells1	0.325262223599059
MonocyteMacrophages	0
Neutrophils	0
MuscularisMacrophages4	0
MuscularisMacrophages1	0
DendriticCells2	0
DendriticCells2	0
MonocyteMacrophages	0
Neutrophils	0
MonocyteMacrophages	0
CyclingMacrophages	0
DendriticCells2	0
Bcells	0
MonocyteMacrophages	0
DendriticCells1	0
Neutrophils	0
MonocyteMacrophages	0
MuscularisMacrophages2	0
CyclingMacrophages	0
MuscularisMacrophages2	0
MuscularisMacrophages2	0
TCells1	0.704538678846041
MonocyteMacrophages	0
CyclingMacrophages	0.51454644583269
MuscularisMacrophages2	0
DendriticCells2	0
Neutrophils	0
MuscularisMacrophages4	0
MonocyteMacrophages	0
MuscularisMacrophages3	0
MuscularisMacrophages2	0
MuscularisMacrophages1	0
MuscularisMacrophages1	0
MuscularisMacrophages1	0
OtherLymphoidCells	0
Neutrophils	0
DendriticCells2	0
MonocyteMacrophages	0
Neutrophils	0
MuscularisMacrophages1	0
TCells1	0
MuscularisMacrophages1	0
MuscularisMacrophages4	0
MuscularisMacrophages1	0
MuscularisMacrophages3	0
CyclingMacrophages	0
MuscularisMacrophages4	0
TCells1	0
MuscularisMacrophages4	0
MuscularisMacrophages3	0
MuscularisMacrophages4	0
MuscularisMacrophages4	0
MuscularisMacrophages4	0
MonocyteMacrophages	0
MuscularisMacrophages4	0
MonocyteMacrophages	0
DendriticCells2	0
TCells2	0
CyclingMacrophages	0
TCells1	0
DendriticCells2	0
MuscularisMacrophages1	0
MuscularisMacrophages4	0
MuscularisMacrophages4	0
MuscularisMacrophages2	0
Neutrophils	0
CyclingMacrophages	0
MuscularisMacrophages1	0
MuscularisMacrophages4	0
MuscularisMacrophages1	0
MuscularisMacrophages4	0
MuscularisMacrophages1	0
CyclingMacrophages	0.263458062372261
DendriticCells2	0
DendriticCells2	0
MonocyteMacrophages	0
MuscularisMacrophages2	0
MonocyteMacrophages	0
MuscularisMacrophages3	0
MuscularisMacrophages2	0
TCells3	0
MuscularisMacrophages2	0.518295616280252
MonocyteMacrophages	0
CyclingMacrophages	0
DendriticCells2	0
NaturalKillerCells	0
MuscularisMacrophages1	0
MuscularisMacrophages1	0
MuscularisMacrophages3	0
Neutrophils	0
Neutrophils	0
MuscularisMacrophages3	0
MuscularisMacrophages3	0
MuscularisMacrophages2	0
MuscularisMacrophages1	0
NaturalKillerCells	0
MonocyteMacrophages	0
DendriticCells2	0
MuscularisMacrophages3	0
MuscularisMacrophages2	0
MuscularisMacrophages4	0
MuscularisMacrophages2	0
MuscularisMacrophages1	0
Bcells	0
MuscularisMacrophages1	0
MonocyteMacrophages	0
DendriticCells1	0
MuscularisMacrophages4	0
TCells2	0.457198834125825
MuscularisMacrophages3	0
MuscularisMacrophages1	0
MuscularisMacrophages4	0
MuscularisMacrophages3	0
NaturalKillerCells	0
MuscularisMacrophages4	0
MuscularisMacrophages3	0
MonocyteMacrophages	0
DendriticCells2	0
MuscularisMacrophages1	0
MonocyteMacrophages	0
MonocyteMacrophages	0
MuscularisMacrophages1	0
MuscularisMacrophages1	0
MuscularisMacrophages3	0
MonocyteMacrophages	0
TCells2	0.568445795278109
MuscularisMacrophages1	0
MuscularisMacrophages2	0
MonocyteMacrophages	0
MuscularisMacrophages1	0
DendriticCells1	0
NaturalKillerCells	0
MuscularisMacrophages2	0
MuscularisMacrophages1	0
MuscularisMacrophages1	0
Neutrophils	0
MonocyteMacrophages	0
MuscularisMacrophages2	0
DendriticCells2	0
MuscularisMacrophages3	0
Neutrophils	0
OtherLymphoidCells	0
MuscularisMacrophages1	0
MuscularisMacrophages1	0
MuscularisMacrophages1	0
Bcells	0
MuscularisMacrophages1	0
DendriticCells1	0
CyclingMacrophages	0
DendriticCells2	0
NaturalKillerCells	0
DendriticCells2	0
MonocyteMacrophages	0
NaturalKillerCells	1.0450911872301
CyclingMacrophages	0
TCells1	0
MuscularisMacrophages1	0
Neutrophils	0
Neutrophils	0
MuscularisMacrophages4	0
MuscularisMacrophages1	0
MuscularisMacrophages2	0
MuscularisMacrophages2	0.678716209811108
DendriticCells2	0
MuscularisMacrophages4	0
MuscularisMacrophages1	0
DendriticCells1	0
MuscularisMacrophages4	0
MonocyteMacrophages	0
MonocyteMacrophages	0
DendriticCells1	0
CyclingMacrophages	0.248694553441019
MuscularisMacrophages3	0
MuscularisMacrophages1	0
MonocyteMacrophages	0
Neutrophils	0
Neutrophils	0
MuscularisMacrophages1	0
Neutrophils	0
Neutrophils	0
CyclingMacrophages	0.339458759141289
MonocyteMacrophages	0
MonocyteMacrophages	0
CyclingMacrophages	0.446830023216531
NaturalKillerCells	1.46250270826738
Neutrophils	0
MonocyteMacrophages	0
MonocyteMacrophages	0
MuscularisMacrophages2	0
MuscularisMacrophages3	0
DendriticCells2	0
MuscularisMacrophages1	0
MuscularisMacrophages2	0
MuscularisMacrophages1	0
NaturalKillerCells	0
DendriticCells2	0
MuscularisMacrophages1	0
DendriticCells2	0
TCells1	0
CyclingMacrophages	0
TCells3	0
MuscularisMacrophages1	0
CyclingMacrophages	0
NaturalKillerCells	0
MuscularisMacrophages3	0
DendriticCells2	0
MuscularisMacrophages2	0
MuscularisMacrophages3	0
MuscularisMacrophages2	0.46686758114701
MuscularisMacrophages1	0
MuscularisMacrophages2	0
MuscularisMacrophages1	0
MuscularisMacrophages4	0
CyclingMacrophages	0
MuscularisMacrophages4	0
MuscularisMacrophages2	0
MuscularisMacrophages3	0
DendriticCells2	0
DendriticCells1	0
MonocyteMacrophages	0
MuscularisMacrophages2	0
CyclingMacrophages	0
DendriticCells2	0
DendriticCells2	0
MuscularisMacrophages1	0
MuscularisMacrophages1	0
DendriticCells2	0
MuscularisMacrophages4	0
MuscularisMacrophages3	0
DendriticCells2	0
MonocyteMacrophages	0
CyclingMacrophages	1.48168375045181
MuscularisMacrophages1	0
CyclingMacrophages	0
MuscularisMacrophages1	0
DendriticCells2	0
MuscularisMacrophages2	0
MonocyteMacrophages	0
DendriticCells2	0
MuscularisMacrophages1	0
CyclingMacrophages	0
MuscularisMacrophages1	0
MuscularisMacrophages3	0
MuscularisMacrophages1	0
