quadrant	cells	gene	expression	x
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	1.11404720110217	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0.724947445201725	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0.897252595078829	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0.866730722422152	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0.885709609264255	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0.861015018217871	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0.768348818024934	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	2.08752363755673	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0.668029178131402	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0.826734827227742	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0.851972646178119	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0.850741192340298	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	1.90265858965442	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0.897941593205959	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	1.12411445692925	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	1.06051610817874	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0.994361259230302	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	1.71871506905563	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0.78457213234797	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0.98438477513105	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	1.10782987394719	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	1.14028498506868	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	1.42170004748515	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0.904631380429511	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	1.43789473859188	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0.728146148065575	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	1.01700935753672	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il33	0	Il33 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Cxcl1	0	Cxcl1 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il6	0	Il6 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il6	0	Il6 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il6	0	Il6 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il6	0	Il6 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il6	0	Il6 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il6	0	Il6 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il6	0	Il6 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il6	0	Il6 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il6	0	Il6 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il6	0	Il6 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il6	0	Il6 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il6	0	Il6 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il6	0	Il6 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il6	0	Il6 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il6	0	Il6 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il6	0	Il6 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il6	0	Il6 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il6	0	Il6 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il6	0	Il6 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il6	0	Il6 Fibroblasts WT_uninfected
WT_uninfected	Fibroblasts	Il6	0	Il6 Fibroblasts WT_uninfected
