quadrant	cells	gene	expression	x
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0.653056283322581	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	2.10379304395283	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	1.62062443330419	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0.478789040692088	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0.380449155747001	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	1.47654809743715	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0.791040775409983	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	1.03856166403546	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0.915811000514511	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0.669886951273271	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	1.02252435309086	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0.890424085553176	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	1.63676157050889	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	2.43014656678885	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	2.08841810464014	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0.352461558639033	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0.513533545416429	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
WT_infected	OtherLymphoidCells	Ifng	0	Ifng OtherLymphoidCells WT_infected
