quadrant	cells	gene	expression	x
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	1.40782464945826	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0.454934438492378	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0.927444111165967	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0.704693889381994	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Lcn2	0	Lcn2 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	1.4297439776322	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Saa3	0	Saa3 Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Msln	2.78704466173485	Msln Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Msln	3.53115553878136	Msln Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Msln	0	Msln Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Msln	3.65561289608577	Msln Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Msln	0	Msln Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Msln	2.87813514738882	Msln Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Msln	0.948478277253625	Msln Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Msln	3.24635244520771	Msln Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Msln	0	Msln Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Msln	3.18251861361108	Msln Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Msln	3.44543612221445	Msln Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Msln	3.2024343873592	Msln Mesothelial WT_uninfected
WT_uninfected	Mesothelial	Msln	3.44172224724901	Msln Mesothelial WT_uninfected
