quadrant	cells	gene	expression	x
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	1.8813729523237	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	1.95862951045645	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0.220842623743158	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0.720258136723555	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0.46483466261492	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0.832358985584583	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0.669514539842603	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0.426426191262047	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0.523344921326491	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Ccl8	0	Ccl8 MuscularisMacrophages WT_uninfected
