quadrant	cells	gene	expression	x
WT_uninfected	MuscularisMacrophages	Arg1	0	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	0	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	0	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	4.47835069235484	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	0	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	0	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	0	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	0	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	0	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	0	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	0	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	0	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	0	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.95895328028962	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	0	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	0	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	0	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	0	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	0	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	0.444487757122463	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.30451182124186	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	0	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.45028321244165	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.58987397722365	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.92763310603988	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.29958843355568	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	4.17989341364128	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	4.83243336387619	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	2.96047440653707	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	1.01046479619687	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	4.63626063369617	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.61705176145742	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	1.57658475395225	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.08426652744695	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	4.10587150349977	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	0	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	4.08873703822342	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	0	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	4.29085404170266	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.79568629176473	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.9936396827525	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	4.85127649005575	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	4.09032547211759	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	4.77966586833839	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.21411842278557	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	2.12911315147707	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	0.905157133509286	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.7066218818017	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.38717678664116	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.18190106309981	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	4.39493873450034	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.96138044981088	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	4.56687411431013	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.67091122411134	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	4.27900534073519	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.24342060687215	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	2.93806324048206	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	4.75216104406376	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.93211402660315	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.89604181074598	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	4.02523880735485	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.49629358370263	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	2.71160407401752	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	4.49714843144461	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.78290671454623	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	4.30745431036474	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	2.45061408554926	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.25865143798726	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	2.8415345116391	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	4.40112561738443	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.61972215723464	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.80980771841928	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.22159737112318	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	0	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	4.25963624097774	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	1.1359610279707	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.8900307135715	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.57664434104238	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.82328297287916	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	4.29942043944007	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	3.35425633554896	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	4.31945754669328	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	4.12042907385791	Arg1 MuscularisMacrophages WT_uninfected
WT_uninfected	MuscularisMacrophages	Arg1	4.68456767870482	Arg1 MuscularisMacrophages WT_uninfected
