cell	expression
Fibroblasts1	2.45819990192619
Fibroblasts2	1.76624962176317
Fibroblasts2	3.29762970669044
Fibroblasts1	2.50606878209696
Fibroblasts1	3.66666377479371
Fibroblasts2	2.02756662565114
Fibroblasts1	3.63875016989804
Fibroblasts1	3.28139529482301
Fibroblasts1	3.08882106708216
Fibroblasts1	3.12714869868983
Fibroblasts1	4.2981948613244
Fibroblasts2	2.13951488543604
Fibroblasts2	1.31406596346533
Fibroblasts2	1.8365050696976
Fibroblasts1	3.81179326189807
Fibroblasts1	3.7988436968059
Fibroblasts2	1.30503299692721
Fibroblasts1	3.70430183771313
Fibroblasts2	2.71646720662301
Fibroblasts1	3.53655810907754
Fibroblasts1	3.22710438395045
Fibroblasts1	3.06058174808397
Fibroblasts1	4.41912056761596
Fibroblasts1	3.49687704235005
Fibroblasts1	3.80274910301328
Fibroblasts1	3.86840223369796
Fibroblasts1	3.19642741675581
Fibroblasts1	4.43272073710777
Fibroblasts2	2.56817299318177
Fibroblasts1	2.69124308278583
Fibroblasts2	2.16414212624539
Fibroblasts1	3.22763631369729
Fibroblasts1	3.77786173183703
Fibroblasts1	3.18373232814034
Fibroblasts1	3.15068828827711
Fibroblasts2	1.98749471708216
Fibroblasts1	2.66223352490833
Fibroblasts2	1.71727650659118
Fibroblasts2	1.97099251113166
Fibroblasts1	3.83002084822012
Fibroblasts1	3.22572279854801
Fibroblasts1	3.89306417185559
Fibroblasts1	2.01617808284176
Fibroblasts1	1.54016355456629
Fibroblasts1	2.78059366209879
Fibroblasts1	1.97746907935873
Fibroblasts2	1.04893152031334
Fibroblasts1	1.91412681733137
Fibroblasts1	4.28998613163239
Fibroblasts2	1.31191085051638
Fibroblasts2	2.43490148914606
Fibroblasts1	1.74220953774252
Fibroblasts1	2.78539601734907
Fibroblasts1	1.53965980337245
Fibroblasts2	0
Fibroblasts2	1.98184005539436
Fibroblasts1	3.20489120513072
Fibroblasts1	3.69836317377459
Fibroblasts1	3.64463322321941
Fibroblasts1	2.53733801268595
Fibroblasts2	2.33340407528209
Fibroblasts1	2.94399124366731
Fibroblasts2	2.76139334025703
Fibroblasts1	2.96346534440249
